Date,Equity
2020-06-01,107703.35489247304
2020-06-02,108201.97193891979
2020-06-03,108797.6365208616
2020-06-04,107860.65146429764
2020-06-05,110932.629956805
2020-06-08,111588.5121681069
2020-06-09,115112.27991566186
2020-06-10,118073.80009673351
2020-06-11,112405.02008999149
2020-06-12,113375.4849759528
2020-06-15,114777.62818754575
2020-06-16,117819.47692739345
2020-06-17,117655.50114007309
2020-06-18,117702.36033844159
2020-06-19,117029.7486814308
2020-06-22,120091.68741271488
2020-06-23,122655.01956654202
2020-06-24,120489.88590894917
2020-06-25,122089.46379928023
2020-06-26,118338.18396527653
2020-06-29,121065.46049945465
2020-06-30,122076.08443030909
2020-07-01,121845.19086015323
2020-07-02,121845.19086015323
2020-07-06,125104.5642701754
2020-07-07,124716.37412819496
2020-07-08,127621.03722563405
2020-07-09,128169.86354718698
2020-07-10,128394.05696386744
2020-07-13,127801.77386563271
2020-07-14,129916.66684114993
2020-07-15,130810.13230709327
2020-07-16,129200.55653149815
2020-07-17,128939.53320868268
2020-07-20,131656.7699816375
2020-07-21,129839.6988281014
2020-07-22,130204.43843291797
2020-07-23,124278.02705605737
2020-07-24,123970.13406588355
2020-07-27,126908.25605474037
2020-07-28,124823.48236289297
2020-07-29,127216.13857592436
2020-07-30,128755.46742992592
2020-07-31,142234.70009484916
2020-08-03,145818.68547176418
2020-08-04,146792.47949648357
2020-08-05,147324.555434348
2020-08-06,152464.5886419837
2020-08-07,148998.20142755157
2020-08-10,151163.86900362448
2020-08-11,146668.26493244374
2020-08-12,151542.69986871898
2020-08-13,154224.60380108093
2020-08-14,154087.1564339272
2020-08-17,153684.85409368918
2020-08-18,154965.50467859168
2020-08-19,155159.92428826584
2020-08-20,158602.86096553408
2020-08-21,166776.07458945867
2020-08-24,168770.74168605183
2020-08-25,167386.20731531142
2020-08-26,169662.5111756467
2020-08-27,167634.25955975812
2020-08-28,167362.74630915772
2020-08-31,173038.38350422223
2020-09-01,179930.92560526473
2020-09-02,176203.0649014555
2020-09-03,162096.0802008372
2020-09-04,162203.3768773517
2020-09-08,151287.8951258478
2020-09-09,157322.24178760103
2020-09-10,152186.33336194867
2020-09-11,150188.28478164837
2020-09-14,154693.96002102183
2020-09-15,154935.33304997277
2020-09-16,150362.6039308964
2020-09-17,147962.29488631734
2020-09-18,143268.9106597349
2020-09-21,147613.6461188315
2020-09-22,149933.51144574664
2020-09-23,143644.3914480917
2020-09-24,145119.47211165813
2020-09-25,150563.75510101535
2020-09-28,154157.58132834738
2020-09-29,152990.9066354552
2020-09-30,155297.3821244094
2020-10-01,156611.5439456786
2020-10-02,151556.10017566974
2020-10-05,156222.65238138122
2020-10-06,151743.81963186857
2020-10-07,154318.48970165485
2020-10-08,154170.9816352982
2020-10-09,156852.90650563975
2020-10-12,166816.30691728045
2020-10-13,162391.08586456074
2020-10-14,162511.8037860056
2020-10-15,161868.11794782686
2020-10-16,159601.86431770463
2020-10-19,155525.35484640958
2020-10-20,157577.04653047223
2020-10-21,156718.81968421352
2020-10-22,155216.9279377557
2020-10-23,154264.84659789252
2020-10-26,154278.2678428229
2020-10-27,156356.77060977693
2020-10-28,149115.53786528937
2020-10-29,154640.32738624935
2020-10-30,145977.6780199373
2020-11-02,145856.98103647202
2020-11-03,148096.39217673344
2020-11-04,154144.17055240687
2020-11-05,159615.2960316249
2020-11-06,159433.97312819713
2020-11-09,156250.38473537553
2020-11-10,155780.253810189
2020-11-11,160508.59399373134
2020-11-12,160132.4641280066
2020-11-13,160199.6331665974
2020-11-16,161596.65704217553
2020-11-17,160374.26638553955
2020-11-18,158547.37531956608
2020-11-19,159366.81455859615
2020-11-20,157620.54518311325
2020-11-23,152932.48967234173
2020-11-24,154705.59106869556
2020-11-25,155860.82315573058
2020-11-27,156613.04101122083
2020-11-30,159917.54623629365
2020-12-01,164847.38306661858
2020-12-02,165330.9666437049
2020-12-03,165142.91217983232
2020-12-04,164216.0506364101
2020-12-07,166230.9438213071
2020-12-08,167077.23601918778
2020-12-09,163584.68679923218
2020-12-10,165545.88453541786
2020-12-11,164430.96852812305
2020-12-14,163584.68679923218
2020-12-15,171778.7127748897
2020-12-16,171684.6698394687
2020-12-17,172880.1970682643
2020-12-18,170139.9075797582
2020-12-21,172248.854169066
2020-12-22,177151.80663357087
2020-12-23,175916.02613897392
2020-12-24,177272.74440380168
2020-12-28,183613.03682362495
2020-12-29,181168.2345723734
2020-12-30,179623.47231266287
2020-12-31,178239.91155797435
2021-01-04,173833.94297750655
2021-01-05,175983.17423958515
2021-01-06,170059.32776522683
2021-01-07,175862.2783453136
2021-01-08,177380.1771771837
2021-01-11,173256.29552701965
2021-01-12,173014.52467645612
2021-01-13,175821.9936725428
2021-01-14,173162.3049365477
2021-01-15,170784.68219287673
2021-01-19,171711.54373629898
2021-01-20,177353.31374934333
2021-01-21,183854.78673620895
2021-01-22,186810.05693036685
2021-01-25,191981.6750802451
2021-01-26,192304.05715230943
2021-01-27,190826.4429932101
2021-01-28,184150.34725639212
2021-01-29,177259.32315887138
2021-02-01,180187.64617327042
2021-02-02,181329.47795335465
2021-02-03,179918.9909568869
2021-02-04,184553.29867399807
2021-02-05,183981.54526477153
2021-02-08,184183.34551225844
2021-02-09,182972.60684127576
2021-02-10,182138.5214855081
2021-02-11,181788.73159813348
2021-02-12,182111.57430574927
2021-02-16,179178.91712957082
2021-02-17,176017.491588167
2021-02-18,174497.2791095499
2021-02-19,174712.56341590604
2021-02-22,169506.27197179265
2021-02-23,169317.9243762055
2021-02-24,168631.80772234593
2021-02-25,162766.35727312157
2021-02-26,163129.59981239596
2021-03-01,171914.3385378174
2021-03-02,168322.42813561976
2021-03-03,164205.82243337037
2021-03-04,161609.40827175847
2021-03-05,163344.83177380305
2021-03-08,156537.67475361255
2021-03-09,162900.8837921196
2021-03-10,161407.61849326134
2021-03-11,164071.30638336207
2021-03-12,162820.16788072072
2021-03-15,166802.22612599243
2021-03-16,168927.79747111106
2021-03-17,167838.10126025722
2021-03-18,162147.55622370998
2021-03-19,161421.06067617136
2021-03-22,165995.0565430142
2021-03-23,164851.57066254073
2021-03-24,161555.59766415923
2021-03-25,162228.27213510883
2021-03-26,163062.3365528969
2021-03-29,163304.47381810364
2021-03-30,161300.0182160425
2021-03-31,164326.8963004686
2021-04-01,165470.40311892168
2021-04-05,169371.7349838047
2021-04-06,169788.7776616885
2021-04-07,172062.3177087152
2021-04-08,175371.7014830373
2021-04-09,178923.30627448455
2021-04-12,176555.5976641592
2021-04-13,180847.00408918763
2021-04-14,177618.32575727458
2021-04-15,180941.1412455169
2021-04-16,180483.81389486225
2021-04-19,181398.6151620288
2021-04-20,179071.25403841306
2021-04-21,179595.938869475
2021-04-22,177497.24142118657
2021-04-23,180699.07726323884
2021-04-26,181237.16240125152
2021-04-27,180793.21441956807
2021-04-28,179703.58102265306
2021-04-29,179569.03356567537
2021-04-30,176851.5350679754
2021-05-03,178304.46334911385
2021-05-04,171995.04398022642
2021-05-05,172331.36027772163
2021-05-06,174537.63706524926
2021-05-07,175467.46133278642
2021-05-10,170939.61277300533
2021-05-11,169672.88594454393
2021-05-12,165441.4982380693
2021-05-13,168406.18005406213
2021-05-14,171748.16426263793
2021-05-17,170158.01893212146
2021-05-18,168244.47603752953
2021-05-19,168028.86719248942
2021-05-20,171559.49212836687
2021-05-21,169026.04894043383
2021-05-24,171276.48392696024
2021-05-25,171006.99119139227
2021-05-26,170939.61277300536
2021-05-27,168823.92415426293
2021-05-28,167921.04706648464
2021-06-01,167476.3662555148
2021-06-02,168527.4633009565
2021-06-03,166479.14263161118
2021-06-04,169645.9387647851
2021-06-07,169659.41235466453
2021-06-08,170791.38234635213
2021-06-09,171316.95704154752
2021-06-10,169942.42055607113
2021-06-11,171613.39695687432
2021-06-14,175831.29013548995
2021-06-15,174699.32014380232
2021-06-16,175386.61979350995
2021-06-17,177596.61307241846
2021-06-18,175804.36389371072
2021-06-21,178283.88131515664
2021-06-22,180547.8212985319
2021-06-23,180170.4770299897
2021-06-24,179779.71151651719
2021-06-25,179375.4200682162
2021-06-28,181625.8550547426
2021-06-29,183714.5860247364
2021-06-30,184563.60015996642
2021-07-01,184981.3337911774
2021-07-02,188606.24244924137
2021-07-06,191382.28353793256
2021-07-07,194818.6247516235
2021-07-08,193026.37557291574
2021-07-09,195546.2614190509
2021-07-12,194724.27821549814
2021-07-13,196260.45590356833
2021-07-14,200990.47112547953
2021-07-15,200087.64638265024
2021-07-16,197271.1949933106
2021-07-19,191961.76306163543
2021-07-20,196947.78696024534
2021-07-21,195937.06880848267
2021-07-22,197823.706399275
2021-07-23,200195.41416370595
2021-07-26,200774.85181144957
2021-07-27,197783.25422266728
2021-07-28,195371.073343649
2021-07-29,196260.45590356828
2021-07-30,196556.97957081356
2021-08-02,196098.7937629949
2021-08-03,198578.31118444086
2021-08-04,198025.84165443567
2021-08-05,198174.0825500787
