Country,Year,Calories,Fat,Protein,Fruit,Sugar,Veg,Obesity
Iceland,2012,3394.0,148.9,129.7,81.2,87.5,64.4,57.19
Iceland,2013,3411.0,152.4,128.8,81.6,89.9,63.1,57.44
Iceland,2014,3458.0,158.7,136.4,83.8,48.1,65.2,57.67
Iceland,2015,3557.0,164.1,140.5,86.5,49.8,65.7,57.93
Iceland,2016,3572.0,164.1,140.8,88.6,52.8,69.2,58.19
Iceland,2017,3652.0,168.3,144.8,95.3,77.7,73.1,58.43
Iceland,2018,3647.0,166.9,145.3,90.9,82.5,73.7,58.65
Iceland,2019,3688.0,176.1,144.3,88.3,80.5,76.8,58.87
Iceland,2020,3659.0,175.0,141.7,81.8,89.4,66.0,59.1
Ireland,2010,3594.0,130.6,111.7,58.8,41.6,83.1,64.13
Ireland,2011,3607.0,130.3,108.3,59.5,94.0,87.5,64.72
Ireland,2012,3603.0,130.5,105.7,58.3,89.8,90.9,65.22
Ireland,2013,3605.0,126.3,110.0,63.7,83.9,86.2,65.66
Ireland,2014,3654.0,131.5,106.4,61.7,90.9,87.5,66.06
Ireland,2015,3717.0,136.5,114.3,65.8,81.6,90.9,66.43
Ireland,2016,3746.0,135.1,111.4,65.7,84.3,93.4,66.79
Ireland,2017,3835.0,149.0,115.5,66.9,78.7,88.6,67.11
Ireland,2018,3871.0,148.2,117.2,69.2,85.0,86.7,67.38
Ireland,2019,3866.0,149.0,115.8,69.3,81.0,79.8,67.64
Ireland,2020,3857.0,162.6,115.4,78.6,87.4,79.1,67.91
Italy,2010,3583.0,156.5,111.7,151.0,30.0,146.9,55.59
Italy,2011,3575.0,157.6,110.0,142.4,30.8,143.5,55.74
Italy,2012,3575.0,157.9,109.1,128.7,31.5,132.9,55.87
Italy,2013,3579.0,154.8,108.6,138.8,32.1,127.4,55.99
Italy,2014,3487.0,148.7,105.9,119.6,32.7,128.0,56.12
Italy,2015,3483.0,146.0,104.6,125.3,32.5,133.9,56.27
Italy,2016,3472.0,146.6,103.6,121.1,32.5,132.1,56.41
Italy,2017,3477.0,146.9,104.6,121.4,32.4,128.7,56.56
Italy,2018,3463.0,145.4,105.2,121.5,33.2,122.9,56.69
Italy,2019,3520.0,149.9,106.3,117.5,33.4,98.4,56.83
Italy,2020,3563.0,153.2,105.7,127.9,34.6,94.6,56.97
Japan,2010,2679.0,86.2,87.2,35.2,25.5,101.8,23.43
Japan,2011,2682.0,85.7,86.7,36.5,28.0,101.2,23.56
Japan,2012,2732.0,86.6,87.5,36.5,27.9,96.8,23.71
Japan,2013,2734.0,86.5,87.3,35.5,27.8,95.3,23.89
Japan,2014,2720.0,87.1,87.1,34.5,27.4,94.3,24.1
Japan,2015,2701.0,87.5,86.2,33.8,27.1,93.9,24.33
Japan,2016,2695.0,86.5,85.7,34.0,27.0,92.5,24.57
Japan,2017,2712.0,89.4,86.8,33.6,25.9,92.9,24.81
Japan,2018,2679.0,89.1,87.5,34.1,25.8,94.1,25.06
Japan,2019,2735.0,91.9,87.9,33.2,29.0,96.9,25.32
Japan,2020,2679.0,90.7,88.3,33.2,27.8,94.3,25.58
Luxembourg,2010,3526.0,140.3,110.3,96.9,165.6,99.2,55.4
Luxembourg,2011,3533.0,137.7,114.0,94.0,149.1,98.2,55.38
Luxembourg,2012,3541.0,140.4,115.7,91.5,171.1,96.3,55.31
Luxembourg,2013,3539.0,141.9,114.0,90.3,169.2,96.6,55.29
Luxembourg,2014,3495.0,138.0,111.8,79.7,163.5,94.5,55.28
Luxembourg,2015,3467.0,139.8,112.2,81.1,163.2,91.4,55.26
Luxembourg,2016,3466.0,140.1,111.4,90.8,161.7,98.7,55.23
Luxembourg,2017,3468.0,142.0,109.8,88.9,160.5,95.6,55.2
Luxembourg,2018,3481.0,143.6,108.9,89.1,163.0,92.6,55.18
Luxembourg,2019,3527.0,149.3,108.7,86.3,155.6,91.5,55.15
Luxembourg,2020,3522.0,142.5,110.4,87.3,149.5,91.0,55.15
Mexico,2010,3130.0,96.2,88.4,104.5,52.1,57.2,65.96
Mexico,2011,3106.0,96.9,87.4,109.1,51.1,52.0,66.71
Mexico,2012,3114.0,97.6,87.8,104.6,51.0,59.1,67.46
Mexico,2013,3106.0,97.5,89.0,110.8,49.5,54.3,68.19
Mexico,2014,3141.0,97.3,89.7,106.4,48.5,56.8,68.89
Mexico,2015,3151.0,98.8,89.8,110.3,49.4,59.9,69.55
Mexico,2016,3168.0,100.2,90.3,114.3,50.2,64.0,70.18
Mexico,2017,3170.0,101.0,90.5,110.8,49.4,72.3,70.76
Mexico,2018,3174.0,103.4,91.6,116.3,46.4,75.8,71.33
Mexico,2019,3206.0,105.6,92.1,119.0,44.1,65.0,71.88
Mexico,2020,3174.0,103.8,91.2,120.5,43.6,62.0,72.41
